filename,Ford,Honda,Kia,Lexus,Mazda,Mercedes-Benz,Mitsubishi,Nissan,Subaru,Suzuki,Toyota_Land_C,UNKNOWN,black,blue,brown,car,crown,front_side,gray,green,grey,hyunday,rear_side,red,toyota,toyota_aqua,toyota_prius,truck,white,yellow
car_0b7a03cc_jpg.rf.dda1d4c07aaced69feaba7ad61d7819b.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
car_6442aa63_jpg.rf.d63a2ba9a7546d6ad64d0c3f4b42892c.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
car_0715e18a_jpg.rf.759fbabba45f66600ab163825b1cda67.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
car_33f931bf_jpg.rf.f09ef49e4a1ea87bc50bb1419589c517.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
car_3204b907_jpg.rf.e79eebfd356caf2a85e206a0ab9ed64e.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
car_18cb9e17_jpg.rf.ae4bb68d11a34ca5e754dc5be9b7c949.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
car_06d283c9_jpg.rf.86695b912fcb32779bb1ca94e45bcf4b.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
car_cda34b7b_jpg.rf.98a5f1312dca1c2f1100ade0a6f35d50.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
car_6fec203d_jpg.rf.d79dd3668b3dab24ab2f93d1e7d59f13.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
car_cfd3c76c_jpg.rf.c6ee43fe89cf29f0b7b9d31961a5076f.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
car_15ec122b_jpg.rf.e927fdaa7a3d9cad65137a1fb29f91a8.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
car_d2a20d56_jpg.rf.4fadaa510bed435909e23682161f2b33.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
car_7154e817_jpg.rf.ba42830978cffa1443a8329d198b4130.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
car_51752249_jpg.rf.149ff8bd4b61ee934488210fe8b0e41a.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
car_6fb6cde8_jpg.rf.fbe8327250d41f2b5b7c2aa40d7ce027.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
car_dafb8aa3_jpg.rf.6fe417ff572b08b1a51d1cbb8cd6bf44.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
car_52c0fbad_jpg.rf.05f9201bde99d8545063d41e472cbf25.jpg,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
car_cf3999ec_jpg.rf.9231e6ebf8f4126a31951adc2fd4d190.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
car_ee82faa7_jpg.rf.b9cb63990a66d784ba6020adfd1d9f4e.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
car_da997070_jpg.rf.1749e558acd90099ddceb4ceb4adc3f4.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
car_e2ba99e4_jpg.rf.1b0be13d16294c133ca33639f710df37.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
car_1c337a8b_jpg.rf.aeaceffbed1eb75d385b3ead626ccdd2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
car_da684872_jpg.rf.7ec8adbe71a02dc264fca23afb561359.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
car_1b19c5dc_jpg.rf.7a55280d4861c50e99f9ef42a26406c7.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
car_18923855_jpg.rf.f358e217c0acb9a36335b94dd6c36cc1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
car_db4d1345_jpg.rf.d2a2ff534b6fc96fe811cb4d4baafe31.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
car_26492075_jpg.rf.47d46dae95a6c83e5439c2b4844bdea9.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
car_1c599c26_jpg.rf.ef87cff777b6687861892fd736d30441.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
